frame_index,timestamp,landmark_id,x,y,z,visibility
0,0.000000,11,489.288,662.713,0.186439,0.998
0,0.000000,12,486.776,665.138,-0.191560,1.000
0,0.000000,13,479.599,748.089,0.245306,0.106
0,0.000000,14,486.404,757.055,-0.240623,0.987
0,0.000000,23,402.437,765.660,0.122220,0.995
0,0.000000,24,394.654,768.648,-0.121808,0.999
0,0.000000,15,497.185,823.028,0.186946,0.110
0,0.000000,16,515.139,840.088,-0.195462,0.939
1,0.033182,11,488.992,657.812,0.176107,0.998
1,0.033182,12,489.661,661.738,-0.216730,1.000
1,0.033182,13,475.570,745.283,0.222648,0.102
1,0.033182,14,486.267,756.024,-0.259282,0.987
1,0.033182,23,404.593,767.061,0.125130,0.995
1,0.033182,24,400.175,770.833,-0.124840,0.999
1,0.033182,15,497.189,820.771,0.162507,0.108
1,0.033182,16,515.178,839.556,-0.199024,0.938
2,0.066364,11,486.751,656.349,0.154547,0.998
2,0.066364,12,490.738,661.351,-0.252883,1.000
2,0.066364,13,474.036,744.506,0.196814,0.099
2,0.066364,14,486.879,756.361,-0.291576,0.987
2,0.066364,23,405.450,769.629,0.128828,0.995
2,0.066364,24,405.646,773.705,-0.128677,0.999
2,0.066364,15,495.649,819.330,0.134150,0.106
2,0.066364,16,515.163,839.524,-0.227544,0.939
3,0.099545,11,486.543,655.126,0.110913,0.998
3,0.099545,12,490.548,660.254,-0.286795,1.000
3,0.099545,13,472.542,740.026,0.141897,0.095
3,0.099545,14,486.886,755.929,-0.325942,0.987
3,0.099545,23,407.224,771.090,0.128552,0.995
3,0.099545,24,406.506,775.059,-0.128406,0.999
3,0.099545,15,481.852,813.658,0.072438,0.100
3,0.099545,16,515.163,838.288,-0.272627,0.940
4,0.132727,11,486.776,654.832,0.098033,0.998
4,0.132727,12,487.521,659.539,-0.305527,1.000
4,0.132727,13,473.562,740.283,0.126191,0.093
4,0.132727,14,486.591,755.306,-0.352678,0.987
4,0.132727,23,408.842,771.845,0.129614,0.995
4,0.132727,24,405.799,776.132,-0.129532,0.999
4,0.132727,15,488.873,812.970,0.049431,0.095
4,0.132727,16,515.161,836.724,-0.313737,0.941
5,0.165909,11,491.163,655.023,0.097897,0.998
5,0.165909,12,483.110,658.160,-0.297398,1.000
5,0.165909,13,481.341,740.506,0.131957,0.093
5,0.165909,14,485.537,752.938,-0.340457,0.987
5,0.165909,23,414.523,772.098,0.128926,0.995
5,0.165909,24,405.249,776.027,-0.128937,0.999
5,0.165909,15,496.588,813.420,0.058040,0.093
5,0.165909,16,513.995,833.025,-0.303427,0.944
6,0.199091,11,497.380,660.925,0.094434,0.998
6,0.199091,12,478.998,657.899,-0.288921,1.000
6,0.199091,13,490.369,742.466,0.139889,0.111
6,0.199091,14,483.927,752.999,-0.331133,0.988
6,0.199091,23,418.649,774.343,0.124724,0.996
6,0.199091,24,405.210,777.141,-0.124751,0.999
6,0.199091,15,509.527,815.241,0.066206,0.114
6,0.199091,16,512.617,830.956,-0.311443,0.948
7,0.232273,11,504.563,662.000,0.071495,0.999
7,0.232273,12,473.555,657.754,-0.295830,1.000
7,0.232273,13,500.225,743.260,0.131293,0.149
7,0.232273,14,481.659,754.135,-0.329682,0.988
7,0.232273,23,425.048,774.466,0.120428,0.996
7,0.232273,24,404.956,777.440,-0.120453,0.999
7,0.232273,15,517.632,816.290,0.058945,0.159
7,0.232273,16,511.932,830.318,-0.323359,0.951
8,0.265455,11,510.884,664.539,0.088551,0.999
8,0.265455,12,466.570,654.876,-0.277367,1.000
8,0.265455,13,504.301,743.729,0.148205,0.189
8,0.265455,14,473.194,752.550,-0.300449,0.989
8,0.265455,23,433.372,776.570,0.116382,0.996
8,0.265455,24,404.677,777.282,-0.116380,0.999
8,0.265455,15,517.338,815.211,0.069247,0.206
8,0.265455,16,510.482,821.101,-0.297790,0.954
9,0.298636,11,518.569,664.145,0.099511,0.999
9,0.298636,12,458.811,649.331,-0.218325,1.000
9,0.298636,13,508.187,738.207,0.148795,0.231
9,0.298636,14,458.137,740.823,-0.249354,0.989
9,0.298636,23,441.423,777.902,0.111468,0.997
9,0.298636,24,404.481,777.200,-0.111426,0.999
9,0.298636,15,514.537,802.405,0.029425,0.247
9,0.298636,16,505.110,805.855,-0.266441,0.957
10,0.331818,11,521.272,664.664,0.113130,0.999
10,0.331818,12,454.374,645.469,-0.194082,1.000
10,0.331818,13,508.274,735.343,0.141157,0.257
10,0.331818,14,448.326,732.628,-0.232572,0.990
10,0.331818,23,445.089,778.825,0.107196,0.997
10,0.331818,24,404.325,775.974,-0.107113,0.999
10,0.331818,15,508.564,790.351,0.001462,0.270
10,0.331818,16,495.000,791.876,-0.250902,0.960
11,0.365000,11,527.366,664.837,0.134345,0.999
11,0.365000,12,450.803,640.786,-0.158802,1.000
11,0.365000,13,514.347,730.027,0.112778,0.292
11,0.365000,14,438.051,722.764,-0.205466,0.990
11,0.365000,23,450.419,780.868,0.102911,0.997
11,0.365000,24,404.911,775.227,-0.102787,0.999
11,0.365000,15,499.626,776.812,-0.086610,0.304
11,0.365000,16,488.125,781.748,-0.225637,0.962
12,0.398182,11,531.284,668.030,0.106932,0.999
12,0.398182,12,447.921,637.055,-0.154251,1.000
12,0.398182,13,510.027,738.349,0.062824,0.300
