frame_index,timestamp,shoulder_line_angle_2d_signed_deg,hip_line_angle_2d_signed_deg,xfactor_proxy_deg,valid,left_elbow_angle_2d_abs_deg,right_elbow_angle_2d_abs_deg
0,0.000000,-119.074408,-139.463034,20.388626,1,,162.000749
1,0.033170,-110.996567,-135.339165,24.342598,1,,162.881542
2,0.066340,-103.626560,-133.314843,29.688283,1,,163.044882
3,0.099510,-98.712450,-131.807753,33.095303,1,,163.400626
4,0.132680,-97.539963,-131.509046,33.969084,1,,163.699252
5,0.165851,-97.166694,-131.321022,34.154328,1,,163.730854
6,0.199021,-97.694370,-131.433631,33.739260,1,,163.770012
7,0.232191,-98.511124,-131.172833,32.661708,1,,163.795563
8,0.265361,-98.831377,-131.026977,32.195600,1,,163.695777
9,0.298531,-99.076980,-130.799013,31.722033,1,,163.764320
10,0.331701,-99.385549,-130.603535,31.217986,1,,163.741924
11,0.364871,-99.404404,-129.747489,30.343085,1,,163.622335
12,0.398041,-99.890361,-130.793198,30.902837,1,,163.640091
13,0.431211,-99.863296,-130.925751,31.062454,1,,163.554231
14,0.464381,-100.567671,-131.055713,30.488042,1,,163.480388
15,0.497552,-103.824655,-131.923884,28.099229,1,,163.623796
16,0.530722,-104.264077,-131.970840,27.706763,1,,163.566772
17,0.563892,-103.911718,-131.649439,27.737721,1,,163.362983
18,0.597062,-104.199792,-132.046720,27.846928,1,,163.292415
19,0.630232,-104.013448,-132.022888,28.009439,1,,163.225885
20,0.663402,-106.749024,-132.163567,25.414543,1,,163.400276
21,0.696572,-107.641943,-132.053025,24.411082,1,,163.586961
22,0.729742,-111.939627,-133.116088,21.176461,1,,163.765433
23,0.762912,-115.574567,-133.775819,18.201252,1,,162.544203
24,0.796082,-126.283069,-136.985122,10.702053,1,,160.452727
25,0.829253,-132.845161,-144.279840,11.434679,1,,157.219611
26,0.862423,-138.510844,-148.272452,9.761609,1,,147.887939
27,0.895593,-142.059784,-151.840478,9.780694,1,,138.963447
28,0.928763,-142.226552,-148.468428,6.241876,1,,132.472936
29,0.961933,-142.659421,-150.355477,7.696056,1,,125.707551
30,0.995103,-144.442357,-151.957611,7.515254,1,,120.247886
31,1.028273,-144.934054,-152.930615,7.996560,1,,108.791168
32,1.061443,-146.155821,-154.458414,8.302594,1,,99.377648
33,1.094613,-146.992295,-156.727166,9.734871,1,,83.254882
34,1.127784,-148.292137,-159.865718,11.573580,1,,60.902242
35,1.160954,-148.909951,-161.405710,12.495760,1,74.121582,26.657564
36,1.194124,-150.630275,-162.127173,11.496898,1,97.423002,1.468820
37,1.227294,-152.867093,-161.919705,9.052612,1,119.038182,21.839084
38,1.260464,-155.474337,-161.724956,6.250619,1,134.671438,37.861195
39,1.293634,-156.745797,-161.085532,4.339735,1,127.488883,50.234329
40,1.326804,-157.024612,-160.471360,3.446748,1,134.855243,56.680099
41,1.359974,-158.042258,-160.281170,2.238911,1,142.321236,64.812538
42,1.393144,-159.295580,-159.712501,0.416920,1,147.297171,67.636493
43,1.426314,-160.294664,-159.047851,-1.246813,1,150.876615,64.392124
44,1.459485,-161.560502,-158.533728,-3.026775,1,151.804528,64.764375
45,1.492655,-161.952029,-158.234219,-3.717811,1,154.782544,64.145887
46,1.525825,-163.352454,-157.828482,-5.523972,1,163.906470,62.988048
47,1.558995,-163.688078,-157.591049,-6.097029,1,159.339462,60.044179
48,1.592165,-163.840536,-157.832797,-6.007739,1,160.298206,57.303190
49,1.625335,-164.035608,-157.875421,-6.160186,1,159.918610,56.244334
50,1.658505,-162.595000,-157.225076,-5.369925,1,157.160236,56.496500
51,1.691675,-161.110915,-157.021262,-4.089654,1,155.825376,56.750726
52,1.724845,-159.607561,-155.474449,-4.133111,1,145.621595,57.876664
53,1.758015,-158.825702,-153.457136,-5.368566,1,135.559157,46.333654
54,1.791186,-156.105904,-152.861370,-3.244534,1,129.022681,32.965469
55,1.824356,-152.198390,-153.024549,0.826159,1,107.406128,0.940807
56,1.857526,-150.272682,-151.804300,1.531618,1,63.710307,58.080949
57,1.890696,-141.339490,-153.539579,12.200089,1,5.101429,34.059380
58,1.923866,-141.547751,-153.219501,11.671750,1,138.295727,106.305208
59,1.957036,-113.065117,-138.200498,25.135381,1,155.660737,143.705036
60,1.990206,11.706872,2.467702,9.239170,1,153.427232,154.134307
61,2.023376,23.376425,10.423257,12.953168,1,147.884491,159.374037
62,2.056546,25.211412,17.137145,8.074268,1,,164.842624
63,2.089716,26.746300,14.597898,12.148403,1,,63.597020
64,2.122887,28.447274,13.851410,14.595864,1,,91.609058
65,2.156057,29.537670,14.665822,14.871848,1,,142.231468
66,2.189227,26.636570,12.809791,13.826779,1,,165.876198
67,2.222397,25.198609,13.065231,12.133378,1,,148.146179
68,2.255567,23.400371,14.042878,9.357493,1,57.575224,132.095992
69,2.288737,21.641138,13.100212,8.540926,1,56.548467,116.935645
70,2.321907,17.121181,12.114198,5.006984,1,55.358718,108.681927
71,2.355077,16.745930,12.707349,4.038581,1,51.499630,108.951134
72,2.388247,21.935677,14.368436,7.567241,1,55.052102,87.976534
73,2.421418,21.395365,13.993435,7.401931,1,54.899856,87.587089
74,2.454588,19.143757,12.608896,6.534862,1,54.828238,81.789955
75,2.487758,23.717044,13.186364,10.530680,1,52.940239,68.373720
76,2.520928,24.321141,13.516486,10.804655,1,55.339702,68.742808
77,2.554098,16.890725,13.293210,3.597516,1,43.658362,
78,2.587268,15.242567,12.082489,3.160079,1,0.934988,
79,2.620438,15.166516,11.699275,3.467241,1,21.577994,
80,2.653608,14.387957,12.337041,2.050916,1,6.034106,
81,2.686778,11.275442,12.156640,-0.881197,1,20.936196,
82,2.719948,12.250417,13.178424,-0.928007,1,39.283557,
83,2.753119,11.304099,12.725415,-1.421316,1,58.936062,
84,2.786289,12.493589,12.956718,-0.463129,1,64.941095,
85,2.819459,12.824236,13.103668,-0.279432,1,72.993220,
86,2.852629,11.795763,12.535307,-0.739544,1,71.738475,
87,2.885799,12.594071,12.891203,-0.297132,1,72.817316,
88,2.918969,14.021301,13.052610,0.968691,1,77.182871,
89,2.952139,13.317190,12.723299,0.593892,1,77.894904,
90,2.985309,12.575099,12.340003,0.235096,1,76.473961,
91,3.018479,13.025719,12.754462,0.271257,1,75.690763,
92,3.051649,11.086321,12.631812,-1.545491,1,74.974239,
93,3.084820,11.764988,12.630636,-0.865648,1,72.742852,
94,3.117990,11.954148,12.833442,-0.879294,1,72.154850,
95,3.151160,11.425294,13.550973,-2.125679,1,71.173608,
96,3.184330,10.875683,13.214868,-2.339185,1,70.993085,
97,3.217500,11.760408,13.588063,-1.827655,1,71.933967,
98,3.250670,11.019168,13.603776,-2.584608,1,72.323559,
99,3.283840,8.906657,12.390300,-3.483643,1,73.127377,
100,3.317010,9.293779,12.119467,-2.825688,1,72.189463,
101,3.350180,9.337640,11.824160,-2.486521,1,72.750170,
102,3.383351,8.152116,11.365114,-3.212998,1,70.049334,
103,3.416521,9.569307,12.238025,-2.668718,1,72.465715,
104,3.449691,10.236683,12.336677,-2.099994,1,72.232341,
105,3.482861,10.921916,12.391562,-1.469647,1,72.133316,
106,3.516031,9.907644,11.766788,-1.859144,1,72.810960,
107,3.549201,9.869721,11.167767,-1.298046,1,71.321178,
108,3.582371,9.717955,11.300308,-1.582352,1,70.682284,
109,3.615541,9.284289,11.526252,-2.241963,1,70.984250,
110,3.648711,9.748707,11.587194,-1.838487,1,71.915906,
111,3.681881,8.858308,11.149587,-2.291279,1,72.620225,
112,3.715052,9.329242,11.398216,-2.068974,1,73.367939,
113,3.748222,12.180351,11.705469,0.474882,1,76.787341,
114,3.781392,13.094191,11.855858,1.238333,1,75.499563,
115,3.814562,12.477464,11.580868,0.896596,1,74.815078,
116,3.847732,12.551801,11.602539,0.949262,1,74.152441,
117,3.880902,11.870445,11.542495,0.327950,1,73.246139,
118,3.914072,11.637491,11.790092,-0.152601,1,73.207439,
119,3.947242,14.097992,12.816674,1.281318,1,75.861019,
120,3.980412,13.848991,12.895808,0.953182,1,75.481419,
121,4.013582,15.126042,13.655939,1.470103,1,76.366828,
122,4.046753,15.934230,14.114228,1.820002,1,77.772626,
123,4.079923,15.592719,14.138045,1.454674,1,77.226118,
124,4.113093,13.750167,13.567874,0.182293,1,77.942303,
125,4.146263,13.397585,13.208274,0.189310,1,76.925679,
126,4.179433,12.074524,12.423016,-0.348492,1,75.789848,
127,4.212603,11.224811,12.408529,-1.183718,1,76.672656,
128,4.245773,9.828410,12.268282,-2.439872,1,77.041373,
129,4.278943,9.535492,12.238069,-2.702577,1,76.134681,
130,4.312113,9.289380,11.864689,-2.575309,1,76.148137,
131,4.345284,9.139637,11.992473,-2.852836,1,76.916252,
132,4.378454,9.221189,11.688273,-2.467084,1,76.912287,
133,4.411624,9.160501,11.549445,-2.388944,1,76.631927,
134,4.444794,9.373820,11.471388,-2.097567,1,77.470219,
135,4.477964,9.489558,11.426211,-1.936653,1,76.846928,
136,4.511134,9.574073,11.061271,-1.487198,1,76.156437,
137,4.544304,9.969378,11.518310,-1.548932,1,79.446722,
138,4.577474,9.194130,11.408012,-2.213882,1,77.382343,
139,4.610644,9.053115,11.462854,-2.409739,1,76.429581,
140,4.643814,9.874824,11.277793,-1.402969,1,77.155342,
141,4.676985,9.859546,10.818655,-0.959109,1,79.232244,
142,4.710155,10.100500,10.840307,-0.739807,1,78.393755,
143,4.743325,10.218289,10.767721,-0.549432,1,77.664788,
144,4.776495,10.506081,10.441936,0.064145,1,77.350141,
145,4.809665,10.572937,9.903553,0.669384,1,77.075489,
146,4.842835,10.693642,11.358056,-0.664414,1,79.782079,
147,4.876005,10.024705,11.603992,-1.579287,1,77.671893,
148,4.909175,10.812570,12.338361,-1.525792,1,79.449513,
149,4.942345,10.784905,11.700479,-0.915574,1,78.362053,
150,4.975515,11.736403,11.804084,-0.067682,1,79.132664,
151,5.008686,12.381104,11.908027,0.473077,1,80.631721,
152,5.041856,11.685992,11.012372,0.673620,1,80.064675,
153,5.075026,11.439717,11.051861,0.387856,1,81.685173,
154,5.108196,12.375411,10.752101,1.623310,1,86.855577,
155,5.141366,12.557328,11.445158,1.112170,1,86.130654,
156,5.174536,12.469957,10.549525,1.920432,1,85.839233,
157,5.207706,13.369052,11.039767,2.329286,1,88.203798,
158,5.240876,13.988591,10.042184,3.946408,1,87.196560,
159,5.274046,13.676597,10.224855,3.451741,1,88.576607,
160,5.307216,13.920586,10.477561,3.443025,1,87.148888,
161,5.340387,14.005939,10.669500,3.336439,1,85.558495,
162,5.373557,13.844569,10.697739,3.146830,1,86.732329,
163,5.406727,12.843952,11.115192,1.728760,1,93.118357,
164,5.439897,12.375825,11.107606,1.268219,1,93.211404,
165,5.473067,12.267679,11.617989,0.649690,1,93.359455,
166,5.506237,11.834457,10.717361,1.117096,1,85.387960,
167,5.539407,12.455845,10.980419,1.475426,1,90.559258,
168,5.572577,12.460907,10.593603,1.867305,1,93.113113,
169,5.605747,12.076277,10.414003,1.662275,1,88.191970,
170,5.638918,11.767895,9.873884,1.894010,1,83.839719,
171,5.672088,11.529568,10.126459,1.403109,1,85.133783,
172,5.705258,11.290764,10.665912,0.624852,1,81.604983,
173,5.738428,11.082611,10.183058,0.899553,1,82.085142,
174,5.771598,11.550592,10.129852,1.420740,1,82.948438,
175,5.804768,11.335996,9.120934,2.215061,1,75.447503,
176,5.837938,10.445072,8.445310,1.999762,1,73.637754,
177,5.871108,9.480257,5.802716,3.677541,1,67.039759,
178,5.904278,8.855754,5.221250,3.634504,1,66.113865,
179,5.937448,7.005690,4.451900,2.553791,1,54.185054,
180,5.970619,4.461851,3.999106,0.462745,1,46.201853,
181,6.003789,3.912837,1.857836,2.055001,1,32.206037,
182,6.036959,2.736826,1.150484,1.586342,1,27.613754,
183,6.070129,0.539577,-0.860725,1.400302,1,37.009368,
184,6.103299,-1.166659,-2.837968,1.671309,1,135.090463,
185,6.136469,-3.936321,-3.623794,-0.312527,1,173.444628,
186,6.169639,-4.995358,-4.768651,-0.226707,1,169.496333,
187,6.202809,-6.167850,-5.032627,-1.135222,1,164.748461,
188,6.235979,-9.089567,-7.826427,-1.263141,1,168.021337,
189,6.269149,-13.071797,-10.608572,-2.463225,1,171.365645,
190,6.302320,-15.255513,-12.587981,-2.667532,1,168.415215,
191,6.335490,-18.668941,-15.103133,-3.565808,1,163.849287,
192,6.368660,-19.602304,-16.686816,-2.915488,1,155.893767,
193,6.401830,-21.224850,-18.145763,-3.079088,1,148.400407,
